# T650 raw capture: /dev/hidraw4 (receiver 046d:c52b), device index 1
# cols: t_ms dt_ms  raw_hex  | decoded
  2930.78    7.90  11 01 0f 00 01 fb 06 66 44 74 00 14 11 00 00 00 00 00 00 01  | ts=  507 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1638 y=1140 yf=1224 z=  0 a= 20]
  2938.81    8.04  11 01 0f 00 02 06 06 5c 44 66 00 14 11 00 00 00 00 00 00 01  | ts=  518 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1628 y=1126 yf=1238 z=  0 a= 20]
  2954.85   16.04  11 01 0f 00 02 10 06 4e 44 56 00 14 11 00 00 00 00 00 00 01  | ts=  528 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1614 y=1110 yf=1254 z=  0 a= 20]
  2963.22    8.36  11 01 0f 00 02 1b 06 40 44 48 00 14 11 00 00 00 00 00 00 01  | ts=  539 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1600 y=1096 yf=1268 z=  0 a= 20]
  2971.17    7.96  11 01 0f 00 02 26 06 2e 44 39 00 18 11 00 00 00 00 00 00 01  | ts=  550 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1582 y=1081 yf=1283 z=  0 a= 24]
  2984.81   13.64  11 01 0f 00 02 30 06 1a 44 2b 00 10 11 00 00 00 00 00 00 01  | ts=  560 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1562 y=1067 yf=1297 z=  0 a= 16]
  2992.70    7.89  11 01 0f 00 02 3b 05 ff 44 19 00 0c 11 00 00 00 00 00 00 01  | ts=  571 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1535 y=1049 yf=1315 z=  0 a= 12]
  3000.77    8.07  11 01 0f 00 02 46 05 e4 44 09 00 0c 11 00 00 00 00 00 00 01  | ts=  582 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1508 y=1033 yf=1331 z=  0 a= 12]
  3016.80   16.03  11 01 0f 00 02 50 05 cd 43 fc 00 0f 11 00 00 00 00 00 00 01  | ts=  592 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1485 y=1020 yf=1344 z=  0 a= 15]
  3024.79    7.99  11 01 0f 00 02 5b 05 b9 43 f2 00 18 11 00 00 00 00 00 00 01  | ts=  603 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1465 y=1010 yf=1354 z=  0 a= 24]
